RUN	computerdatabase.BasicSimulation	basicsimulation	1607885805328	 	3.4.1
USER	Scenario Name	START	1607885808035
REQUEST		request_1	1607885808056	1607885808269	OK	 
REQUEST		request_1 Redirect 1	1607885808275	1607885808380	OK	 
REQUEST		request_2	1607885815398	1607885815498	OK	 
REQUEST		request_3	1607885817507	1607885817608	OK	 
REQUEST		request_4	1607885820614	1607885820714	OK	 
REQUEST		request_4 Redirect 1	1607885820714	1607885820814	OK	 
REQUEST		request_5	1607885822816	1607885822916	OK	 
REQUEST		request_6	1607885823596	1607885823696	OK	 
REQUEST		request_7	1607885824332	1607885824431	OK	 
REQUEST		request_8	1607885825178	1607885825277	OK	 
REQUEST		request_9	1607885830279	1607885830380	OK	 
REQUEST		request_10	1607885831398	1607885831498	OK	 
REQUEST		request_10 Redirect 1	1607885831507	1607885831609	OK	 
USER	Scenario Name	END	1607885831619
